GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1152	508	1197	1628	1264	685	936	8207	4207	5642	2219	2058	876
jgi.p|Debha1|1153	63	102	160	118	58	56	117	32	46	114	111	36
jgi.p|Debha1|1154	40	107	111	142	67	126	38	30	17	117	152	40
jgi.p|Debha1|1155	31	63	156	83	58	116	138	47	52	137	146	77
jgi.p|Debha1|1156	289	207	491	300	184	237	705	158	254	242	291	152
jgi.p|Debha1|1157	266	430	685	523	299	532	746	245	389	551	538	291
jgi.p|Debha1|1158	413	1196	1645	1364	783	1613	4093	1789	2040	1262	1455	686
jgi.p|Debha1|1159	418	1094	1495	1094	624	1533	1856	693	879	1060	1165	630
jgi.p|Debha1|116	48	168	145	172	49	92	283	103	160	102	119	46
jgi.p|Debha1|1160	1918	3666	6018	4308	2248	5025	5459	1796	3021	5210	5880	2757
jgi.p|Debha1|1161	57	103	139	118	69	150	1093	335	420	128	138	59
jgi.p|Debha1|1162	72	224	200	192	89	183	1063	324	474	212	206	89
jgi.p|Debha1|1163	36	54	104	71	30	51	482	86	181	72	86	41
jgi.p|Debha1|1164	53	198	183	209	105	124	1409	331	600	207	211	91
jgi.p|Debha1|1165	253	278	671	274	162	312	1446	367	550	659	568	256
jgi.p|Debha1|1166	1365	5714	4347	4990	2557	2842	2016	1727	918	2350	2844	1160
jgi.p|Debha1|1167	37	102	126	134	64	86	1086	441	529	144	120	58
jgi.p|Debha1|1168	61	176	251	156	136	120	252	152	119	195	220	68
jgi.p|Debha1|1169	36	147	109	204	59	103	396	111	157	100	68	44
jgi.p|Debha1|117	206	788	673	786	448	659	2348	523	1051	591	621	261
jgi.p|Debha1|1170	52	72	148	110	59	72	1673	227	617	205	292	107
jgi.p|Debha1|1171	7	17	21	39	11	18	129	35	43	13	16	18
jgi.p|Debha1|1172	1	6	5	5	1	6	5	6	5	7	9	4
jgi.p|Debha1|1173	1	17	13	10	3	12	9	6	1	17	18	10
jgi.p|Debha1|1174	1	0	5	9	2	2	3	0	0	1	2	2
jgi.p|Debha1|1175	27	62	53	57	35	46	216	65	110	31	59	18
jgi.p|Debha1|1176	166	252	375	208	145	261	7228	1756	3106	489	442	192
jgi.p|Debha1|1177	96	69	157	95	37	97	1097	247	426	119	145	58
jgi.p|Debha1|1178	7	7	14	10	3	13	104	36	53	4	20	6
jgi.p|Debha1|1179	613	574	1344	584	326	864	2256	474	1011	1336	1352	625
jgi.p|Debha1|118	164	562	556	602	214	376	563	227	291	419	443	219
jgi.p|Debha1|1180	20	65	75	52	21	63	97	71	50	42	52	27
jgi.p|Debha1|1181	7633	6917	18251	7185	4402	9475	14373	3186	6076	9630	11206	5399
jgi.p|Debha1|1182	33	64	135	53	37	64	101	9	53	105	75	57
jgi.p|Debha1|1183	1652	11811	8123	13493	6632	13602	5877	4574	3484	4628	6055	2872
jgi.p|Debha1|1184	315	350	776	404	203	446	4312	778	1751	547	589	306
jgi.p|Debha1|1185	959	1804	2484	2069	1133	1770	8041	1827	3027	1201	1260	644
jgi.p|Debha1|1186	99	126	252	110	70	194	1310	325	539	278	315	153
jgi.p|Debha1|1187	10	35	30	47	29	46	1349	1535	1110	50	42	18
jgi.p|Debha1|1188	21	47	55	48	31	66	442	173	241	75	62	29
jgi.p|Debha1|1189	0	0	0	0	0	0	0	0	1	2	0	0
jgi.p|Debha1|119	12	61	66	52	36	41	586	211	223	74	83	32
jgi.p|Debha1|1190	475	558	893	588	360	573	2613	596	1321	1197	1200	574
jgi.p|Debha1|1191	270	990	976	921	655	930	478	447	353	718	895	328
jgi.p|Debha1|1192	36	55	74	69	34	60	362	131	122	96	79	34
jgi.p|Debha1|1193	4679	18613	19137	20727	11511	21465	8849	5258	4267	9187	12478	5802
jgi.p|Debha1|1194	8	9	15	22	5	10	49	26	13	15	11	5
jgi.p|Debha1|1195	427	512	1256	619	320	643	616	168	282	474	652	386
jgi.p|Debha1|1196	31	91	103	94	50	73	592	179	227	104	99	42
jgi.p|Debha1|1197	2306	3077	6005	3449	1592	3341	72894	15746	30516	6847	6651	3336
jgi.p|Debha1|1198	572	1427	1835	1526	853	1473	997	418	512	1264	1332	578
jgi.p|Debha1|1199	12	14	40	25	12	14	95	54	44	29	35	9
jgi.p|Debha1|12	201	1445	604	1522	930	1559	5276	4888	2530	786	920	390
jgi.p|Debha1|120	0	0	0	1	1	0	0	1	0	1	1	0
jgi.p|Debha1|1200	1021	12449	5107	12725	5226	10710	2269	3168	1432	3218	3254	1532
jgi.p|Debha1|1201	20	118	87	140	72	91	272	135	129	103	91	47
jgi.p|Debha1|1202	31	38	63	60	29	44	547	187	207	77	67	27
jgi.p|Debha1|1203	15	46	44	44	16	59	136	54	53	45	48	11
jgi.p|Debha1|1204	77	64	122	60	53	100	1109	219	501	150	144	85
jgi.p|Debha1|1205	1217	7140	5493	8269	4121	8760	6076	5240	3145	4175	5450	2515
jgi.p|Debha1|1206	152	270	411	375	195	354	1613	439	700	246	295	190
jgi.p|Debha1|1207	12154	25769	35841	26699	15583	29261	65393	23619	34384	25146	29567	14098
jgi.p|Debha1|1208	64	87	123	110	64	65	842	211	320	153	136	65
jgi.p|Debha1|1209	928	3402	5039	3625	1125	2187	953	359	556	2767	2771	1290
jgi.p|Debha1|121	884	1634	2799	1945	1123	2169	1542	347	712	1956	2088	1081
jgi.p|Debha1|1210	2095	3599	5540	3372	2403	3170	5008	2039	2446	4594	4600	1956
