GeneID	GYATH	GYATN	GYATO	GYATP	GYATS	GYATT	GYOYH	GYATW	GYATX	GYATY	GYATZ	GYAUA
jgi.p|YarlipO1F2|122004	122	42	132	126	109	73	100	236	226	84	264	125
jgi.p|YarlipO1F2|122084	718	394	907	438	600	236	682	751	764	277	652	419
jgi.p|YarlipO1F2|122125	804	219	770	851	553	447	472	197	280	477	1049	728
jgi.p|YarlipO1F2|122176	1915	1029	2459	1651	1637	820	1208	3383	2747	1082	2682	1677
jgi.p|YarlipO1F2|122181	4	7	8	2	3	0	5	3	9	0	2	4
jgi.p|YarlipO1F2|122305	672	238	754	579	448	295	375	589	816	296	744	460
jgi.p|YarlipO1F2|122493	185	91	219	164	146	64	214	309	379	135	267	179
jgi.p|YarlipO1F2|122519	661	391	778	340	522	227	649	382	518	203	531	332
jgi.p|YarlipO1F2|122542	2197	271	1338	3713	2778	1984	5310	10519	9926	1821	3656	2512
jgi.p|YarlipO1F2|122590	86	35	86	289	160	110	494	3092	2544	183	575	329
jgi.p|YarlipO1F2|122668	922	281	806	1000	810	527	1113	4027	4083	638	1734	1100
jgi.p|YarlipO1F2|12278	224	42	138	254	240	177	292	126	165	145	380	292
jgi.p|YarlipO1F2|122823	805	164	507	1552	1186	727	2904	10451	7504	904	2491	1774
jgi.p|YarlipO1F2|122877	1653	533	1476	1508	1949	893	1441	1387	1446	844	2022	1414
jgi.p|YarlipO1F2|122954	159	39	136	169	143	84	275	257	324	39	120	88
jgi.p|YarlipO1F2|123075	9250	4074	9500	6479	7562	3948	1322	806	957	363	1241	987
jgi.p|YarlipO1F2|123106	23	4	12	17	6	8	9	15	12	6	24	15
jgi.p|YarlipO1F2|123162	713	235	691	770	684	448	847	863	1070	352	661	423
jgi.p|YarlipO1F2|123261	24	7	26	31	24	8	45	41	54	16	58	24
jgi.p|YarlipO1F2|123654	2817	629	2010	2914	2758	1551	7958	4749	6265	1213	2031	1475
jgi.p|YarlipO1F2|123860	473	89	328	662	373	309	386	277	429	321	904	458
jgi.p|YarlipO1F2|123866	83	38	90	55	41	33	75	104	109	30	110	53
jgi.p|YarlipO1F2|123873	485	98	455	668	413	352	669	1697	1561	416	1096	602
jgi.p|YarlipO1F2|123922	1614	539	1397	1874	1652	798	2139	10543	9049	1652	6082	3474
jgi.p|YarlipO1F2|124285	2805	926	2696	2645	2709	1675	3492	1874	2652	1322	3167	2117
jgi.p|YarlipO1F2|124533	3034	280	1652	3144	2829	1686	4700	1892	3507	2425	4064	2179
jgi.p|YarlipO1F2|12502	1013	720	1491	571	817	374	569	979	972	581	1783	1169
jgi.p|YarlipO1F2|125378	98	59	103	66	90	34	137	65	105	45	117	77
jgi.p|YarlipO1F2|125440	239	96	249	307	210	153	335	689	684	186	401	200
jgi.p|YarlipO1F2|125445	1355	362	1139	1166	1266	653	1382	2978	2868	772	1722	926
jgi.p|YarlipO1F2|125538	34	27	34	22	23	14	69	29	29	17	69	34
jgi.p|YarlipO1F2|1256	5	1	0	1	1	1	1	0	2	1	2	0
jgi.p|YarlipO1F2|12584	1083	457	1019	2495	861	722	352	169	239	1654	2749	1284
jgi.p|YarlipO1F2|125842	465	123	426	505	335	274	168	272	431	389	1090	725
jgi.p|YarlipO1F2|125855	700	179	640	258	574	260	154	319	408	134	360	290
jgi.p|YarlipO1F2|125858	115	39	113	126	96	53	209	473	473	83	169	103
jgi.p|YarlipO1F2|126092	4	2	0	1	1	1	0	7	4	1	3	0
jgi.p|YarlipO1F2|126149	1554	1029	2124	1769	1521	844	2051	3111	3975	993	2737	1930
jgi.p|YarlipO1F2|126150	381	198	504	282	283	141	100	62	68	181	467	239
jgi.p|YarlipO1F2|126289	242	90	274	211	266	165	330	198	281	100	162	110
jgi.p|YarlipO1F2|126295	1324	115	598	4833	1737	1945	2936	7375	6301	2779	6123	4067
jgi.p|YarlipO1F2|126689	145	114	176	52	47	38	15	70	45	28	60	28
jgi.p|YarlipO1F2|126712	983	203	834	1081	754	577	795	198	425	644	932	524
jgi.p|YarlipO1F2|126905	45	16	30	190	72	64	191	139	217	122	301	182
jgi.p|YarlipO1F2|126930	196	58	192	254	153	119	133	49	70	168	400	217
jgi.p|YarlipO1F2|126945	1651	836	2026	841	1585	474	1062	871	938	455	1124	661
jgi.p|YarlipO1F2|126986	1101	394	1403	1510	1289	928	1300	469	746	955	2265	1529
jgi.p|YarlipO1F2|127023	1972	1166	2624	1725	1561	921	883	435	605	971	1960	967
jgi.p|YarlipO1F2|127025	1976	938	2137	777	1384	510	847	2529	2028	424	1108	647
jgi.p|YarlipO1F2|12706	826	154	716	1352	762	751	1213	1165	1691	855	1174	656
jgi.p|YarlipO1F2|127202	18378	12229	24212	3325	12303	3415	1988	916	1257	1148	2709	1670
