GeneID	GYAPU	GYAPW	GYAPX	GYAPY	GYAPZ	GYASA	GYOYB	GYOYC	GYASG	GYOYG	GYASN	GYASO
jgi.p|Debsub1|213902	35954	19365	56851	35647	46238	52660	20042	22558	40502	38619	63644	76262
jgi.p|Debsub1|213919	5567	3019	10101	6024	8325	8540	2910	3334	5587	8002	13220	18273
jgi.p|Debsub1|213928	5047	2138	5561	456	517	729	77	82	126	216	369	271
jgi.p|Debsub1|213945	87	45	78	103	224	352	956	539	1758	61918	96684	134557
jgi.p|Debsub1|213952	2276	1122	1135	799	828	1116	53	74	150	409	830	164
jgi.p|Debsub1|213968	87	43	86	92	193	365	933	556	1583	58588	91910	129202
jgi.p|Debsub1|213986	9639	4143	10496	908	1018	1336	156	186	252	424	706	495
jgi.p|Debsub1|214001	18945	10360	30551	19444	24833	28561	11689	12347	23257	20077	34161	45346
jgi.p|Debsub1|214026	3630	2067	3985	2474	2785	3591	469	379	719	1313	3922	2202
jgi.p|Debsub1|214033	1494	760	1599	702	889	1134	63	89	123	540	898	450
jgi.p|Debsub1|214034	8882	4497	12571	5219	5934	7272	4841	3336	7382	2546	5756	6601
jgi.p|Debsub1|214035	4397	1934	5528	3850	4075	4911	935	1190	1344	1621	3290	3467
jgi.p|Debsub1|214037	30866	14019	46656	21764	24834	26819	21505	26506	30738	20913	31000	43117
jgi.p|Debsub1|214042	474	220	221	174	182	202	9	11	18	114	247	45
jgi.p|Debsub1|214053	203	105	95	57	67	62	16	16	36	80	139	79
jgi.p|Debsub1|214060	9117	4448	9199	5445	5875	7036	312	411	648	2540	6612	2390
jgi.p|Debsub1|214061	5598	2755	6704	4663	4781	6169	427	695	861	2073	4511	3589
jgi.p|Debsub1|214065	58114	26014	85498	39522	46451	51242	67520	66798	81035	41034	56305	83571
jgi.p|Debsub1|214079	7302	3963	7858	5103	6223	7974	636	831	1170	3409	6850	5239
jgi.p|Debsub1|214080	440	190	614	295	369	481	734	415	1052	315	485	375
jgi.p|Debsub1|214083	1630	733	939	459	776	859	35	31	78	573	963	327
jgi.p|Debsub1|214104	8921	4225	9814	6151	6290	7805	569	1929	859	4318	7334	4893
jgi.p|Debsub1|214109	4219	2026	2436	1617	2104	3355	91	83	188	1116	2866	526
jgi.p|Debsub1|214112	2568	1281	2305	1270	1447	1567	53	93	75	649	1452	524
jgi.p|Debsub1|214115	3536	1646	4017	2729	2758	3684	368	342	613	1127	2386	1752
jgi.p|Debsub1|214118	41628	19395	57232	27831	34398	37777	23503	19624	39221	25331	42732	56460
jgi.p|Debsub1|214122	492	246	387	262	362	296	18	13	15	176	311	99
jgi.p|Debsub1|214125	37404	16853	60131	24666	25871	30743	48753	31140	61020	20226	34035	39346
jgi.p|Debsub1|214134	5198	2768	4079	2865	3685	4394	272	301	430	1646	4481	1862
